category,exposure_days,russia_count,ukraine_count,russia_rate_per_day,ukraine_rate_per_day,russia_rate_per_30_days,ukraine_rate_per_30_days,russia_exact_ci_low_per_day,russia_exact_ci_high_per_day,ukraine_exact_ci_low_per_day,ukraine_exact_ci_high_per_day,russia_wald_ci_low_per_day,russia_wald_ci_high_per_day,ukraine_wald_ci_low_per_day,ukraine_wald_ci_high_per_day,russia_score_ci_low_per_day,russia_score_ci_high_per_day,ukraine_score_ci_low_per_day,ukraine_score_ci_high_per_day,rate_ratio_russia_over_ukraine,rate_ratio_ci_low,rate_ratio_ci_high,conditional_poisson_p_value,significant_0_05
Rocket and Missile Artillery,1555,562,116,0.361415,0.074598,10.842444,2.237942,0.332148,0.392569,0.061642,0.089473,0.331534,0.391295,0.061023,0.088173,0.332744,0.392556,0.062202,0.089465,4.844828,3.967092,5.916766,0.0,True
Surface-To-Air Missile Systems,1555,416,176,0.267524,0.113183,8.025723,3.395498,0.242431,0.294509,0.097079,0.131196,0.241816,0.293232,0.096462,0.129905,0.243022,0.294497,0.097651,0.131185,2.363636,1.981711,2.819168,0.0,True
Command Posts And Communications Stations,1555,320,90,0.205788,0.057878,6.173633,1.736334,0.183856,0.229616,0.046541,0.071142,0.183241,0.228335,0.04592,0.069835,0.184442,0.229604,0.047092,0.071134,3.555556,2.814143,4.4923,0.0,True
Aircraft,1555,177,116,0.113826,0.074598,3.414791,2.237942,0.097675,0.131886,0.061642,0.089473,0.097057,0.130595,0.061023,0.088173,0.098247,0.131876,0.062202,0.089465,1.525862,1.207346,1.928407,0.0004370088,True
Radars And Communications Equipment,1555,128,145,0.082315,0.093248,2.469453,2.797428,0.068674,0.097873,0.078688,0.10972,0.068055,0.096575,0.07807,0.108425,0.069237,0.097864,0.079255,0.109711,0.882759,0.695997,1.119635,0.3328724954,False
Artillery and Missile Support Vehicles And Equipment,1555,178,34,0.114469,0.021865,3.434084,0.655949,0.09827,0.132577,0.015142,0.030554,0.097653,0.131286,0.014515,0.029214,0.098843,0.132566,0.015648,0.030553,5.235294,3.627674,7.555339,0.0,True
Helicopters,1555,155,54,0.099678,0.034727,2.990354,1.041801,0.084604,0.116664,0.026088,0.045311,0.083986,0.115371,0.025464,0.043989,0.085173,0.116654,0.026618,0.045306,2.87037,2.10587,3.912409,0.0,True
Jammers And Deception Systems,1555,95,12,0.061093,0.007717,1.832797,0.231511,0.049428,0.074683,0.003988,0.01348,0.048808,0.073378,0.003351,0.012083,0.049981,0.074676,0.004415,0.01349,7.916667,4.34274,14.431814,0.0,True
Anti-Aircraft Guns,1555,68,8,0.04373,0.005145,1.311897,0.154341,0.033958,0.055438,0.002221,0.010137,0.033336,0.054124,0.00158,0.00871,0.034498,0.055432,0.002607,0.010153,8.5,4.085669,17.683762,0.0,True
Self-Propelled Anti-Aircraft Guns,1555,25,49,0.016077,0.031511,0.482315,0.945338,0.010404,0.023733,0.023312,0.04166,0.009775,0.022379,0.022688,0.040334,0.01089,0.023734,0.023837,0.041655,0.510204,0.315163,0.825948,0.0070842527,True
Naval Ships and Submarines,1555,32,36,0.020579,0.023151,0.617363,0.694534,0.014076,0.029051,0.016215,0.032051,0.013449,0.027709,0.015589,0.030714,0.014578,0.02905,0.016724,0.032049,0.888889,0.552132,1.431042,0.7163007602,False
Self-Propelled Anti-Tank Missile Systems,1555,47,19,0.030225,0.012219,0.906752,0.366559,0.022208,0.040193,0.007356,0.019081,0.021584,0.038866,0.006725,0.017713,0.022731,0.040189,0.007823,0.019085,2.473684,1.451898,4.214562,0.0007561071,True
Unmanned Combat Aerial Vehicles,1555,21,26,0.013505,0.01672,0.405145,0.501608,0.00836,0.020644,0.010922,0.024499,0.007729,0.019281,0.010293,0.023147,0.008833,0.020647,0.011411,0.0245,0.807692,0.454473,1.435437,0.5600646296,False
